,Corner1,Corner2,Corner3,Corner4,Corner5,Corner6,Corner7,Corner8,Corner9,Corner10,Corner11,Corner12,Corner13,Corner14,slack
path221,3.861,4.685,5.613,6.175,6.508,4.868,3.083,2.998,3.008,5.943,5.655,5.488,5.442,7.654,35.489
path222,3.531,3.379,5.694,2.654,5.969,4.455,4.942,6.253,7.56,3.502,7.885,6.032,4.22,7.78,36.928
path223,5.54,2.513,4.955,3.708,2.349,4.817,3.664,4.013,7.168,2.985,5.42,5.502,6.354,4.256,31.622
path224,2.374,5.108,2.845,6.008,2.831,2.335,6.224,6.979,5.118,6.864,7.129,3.204,3.488,7.555,34.032
path225,6.589,6.351,6.109,3.363,6.077,2.973,5.545,3.329,4.938,5.42,4.405,6.825,6.608,3.799,36.165
path226,5.816,4.024,2.395,6.544,5.897,3.969,6.595,3.14,4.638,5.67,5.531,6.649,3.856,7.093,35.908
path227,5.926,4.831,5.349,3.309,6.231,3.948,3.967,3.199,5.122,3.322,3.171,4.514,4.132,5.755,31.388
path228,3.975,3.662,4.419,3.421,5.283,3.988,3.909,2.484,3.735,4.737,3.09,5.796,6.336,3.252,29.043
path229,5.39,6.733,5.217,2.518,6.344,2.592,5.899,4.684,3.996,5.165,7.865,4.227,4.952,7.501,36.542
path230,6.557,5.635,2.605,3.083,3.106,2.449,2.501,6.586,7.573,2.756,6.602,5.271,4.712,6.102,32.769
path231,4.011,6.264,3.027,6.765,4.241,6.405,6.437,3.926,3.289,7.372,3.516,4.096,7.503,6.585,36.719
path232,5.774,6.304,6.435,3.698,4.404,5.605,5.134,6.403,6.218,3.226,4.687,6.634,3.947,8.038,38.253
path233,3.772,5.457,5.389,2.627,5.899,6.804,6.454,3.422,3.046,4.6,6.619,7.595,3.944,3.007,34.317
path234,5.299,5.106,5.283,2.778,5.085,3.363,6.671,4.259,7.624,7.287,7.112,3.86,6.817,6.301,38.423
path235,2.697,5.248,2.638,6.479,5.717,7.158,5.563,3.852,6.4,7.162,6.539,4.209,6.983,5.147,37.896
path236,6.177,6.81,2.953,4.13,2.553,3.597,4.338,3.163,4.406,5.832,4.703,3.844,3.982,6.592,31.54
path237,5.604,5.578,4.224,4.323,2.52,6.089,3.081,5.426,5.984,3.295,7.679,4.789,5.325,3.143,33.53
path238,2.513,3.012,3.448,6.191,5.468,7.077,3.271,5.41,6.503,7.435,5.235,5.269,4.193,7.367,36.197
path239,5.974,6.499,2.326,2.599,3.514,6.654,4.331,4.08,3.037,3.83,5.376,4.35,4.508,6.504,31.791
path240,5.892,4.665,3.237,3.565,5.825,3.438,4.965,3.01,6.106,5.376,5.486,6.121,6.263,6.776,35.363
path241,5.54,2.516,6.229,2.819,4.86,4.535,5.831,5.146,7.342,3.646,4.227,6.64,5.114,5.341,34.894
path242,5.011,6.216,5.535,2.889,4.547,4.449,6.612,3.266,7.166,6.347,5.902,4.415,5.788,4.438,36.29
path243,6.234,3.644,3.502,4.133,6.482,4,3.794,3.05,6.252,4.822,3.766,3.713,5.928,3.963,31.642
path244,2.708,2.966,2.624,2.819,3.396,6.097,4.066,7.045,3.811,3.751,7.492,5.646,3.25,6.283,30.977
path245,5.171,4.434,3.396,6.059,4.517,7.21,3.907,3.633,4.376,4.162,7.257,5.045,7.473,7.742,37.192
path246,2.346,2.65,5.965,2.724,4.232,4.721,3.386,4.712,6.925,4.785,3.845,4.289,3.85,5.576,30.003
path247,4.846,5.349,5.817,2.834,4.168,4.193,6.16,5.532,5.132,3.88,7.812,3.183,7.874,4.467,35.623
path248,6.231,5.395,5.94,6.057,5.64,2.965,5.165,6.516,6.218,6.725,3.52,7.278,5.292,6.572,39.757
path249,2.408,5.679,6.22,3.769,3.675,6.749,3.496,3.159,4.151,5.069,3.521,3.54,6.165,7.689,32.644
path250,3.826,4.019,2.833,2.744,5.561,3.781,3.438,3.261,2.979,4.456,3.256,3.226,7.328,3.644,27.177
path251,3.419,5.236,4.462,5.746,2.399,3.68,6.489,4.859,4.689,6.614,3.011,6.393,3.338,3.822,32.078
path252,5.402,2.954,4.781,3.752,6.717,2.628,2.48,3.228,2.889,2.966,5.424,5.076,3.657,5.259,28.607
path253,5.477,5.502,6.299,5.916,6.844,5.805,4.475,3.354,4.375,7.162,5.235,5.598,4.154,7.375,38.785
path254,4.985,3.983,5.396,4.387,3.504,6.225,4.834,5.862,7.419,5.755,3.557,3.587,3.846,5.999,34.669
path255,2.735,5.169,3.662,2.365,5.676,2.698,4.673,6.956,6.307,6.18,3.68,6.194,3.016,6.502,32.907
path256,6.553,3.813,3.695,5.087,4.968,6.764,5.792,5.61,5.229,2.748,3.86,3.633,3.158,7.353,34.132
path257,2.848,2.563,5.257,4.602,4.507,2.433,5.717,6.285,4.765,4.925,3.464,3.565,7.124,7.294,32.674
path258,2.505,6.614,4.856,2.6,2.705,6.568,3.589,4.812,6.984,5.076,7.715,6.821,4.773,6.107,35.863
path259,3.412,4.002,6.159,3.075,3.999,3.016,5.828,7.082,5.925,4.271,4.093,6.973,8.279,5.293,35.703
path260,4.827,6.249,2.914,3.031,4.408,5.764,4.299,6.84,7.641,5.03,7.494,7.311,7.86,6.693,40.181
path261,6.284,3.6,4.601,3.522,5.813,3.552,4.35,5.261,4.495,3.531,3.281,5.771,5.709,7.758,33.763
path262,5.538,4.591,6.513,4.997,5.013,4.94,5.369,3.881,5.886,4.452,6.492,7.099,7.947,7.605,40.162
path263,5.971,4.784,5.078,3.433,5.4,3.829,2.341,5.216,5.216,5.006,4.505,7.64,7.17,6.814,36.201
path264,2.789,5.306,5.913,4.342,3.376,5.507,6.476,3.614,6.345,6.596,6.645,4.167,4.183,4.709,34.983
path265,6.263,2.852,4.923,4.038,5.364,6.823,4.16,6.214,7.603,3.216,4.09,5.362,6.208,4.846,35.981
path266,5.045,6.032,4.291,4.765,4.151,3.688,4.276,2.337,7.634,3.086,7.317,3.235,4.911,4.319,32.543
path267,2.675,5.992,4.24,3.059,2.501,5.347,3.518,5.415,7.401,3.409,7.169,5.237,6.889,5.14,33.996
path268,4.149,3.944,2.338,5.059,5,6.76,3.171,5.382,3.022,4.369,4.141,5.039,4.038,8.021,32.216
path269,5.052,4.263,5.701,4.377,4.246,4.478,5.228,5.59,5.824,6.47,4.985,5.184,4.22,6.244,35.932
path270,6.638,4.396,5.503,2.322,4.24,4.161,3.11,6.42,7.13,7.639,3.227,5.128,6.086,6.352,36.176
path271,6.315,3.195,6.378,5.097,4.013,3.28,2.318,7.122,6.702,3.71,6.98,3.856,3.55,3.748,33.131
path272,2.324,4.957,4.666,4.659,5.958,3.058,4.93,3.72,4.54,2.9,3.397,5.992,6.027,6.078,31.603
path273,3.954,6.532,4.771,3.946,4.309,2.992,4.905,3.119,7.653,3.401,5.921,5.265,4.873,4.136,32.889
path274,5.521,6.135,6.014,4.826,6.513,2.32,5.117,5.276,4.395,3.835,4.252,4.524,7.523,4.443,35.347
path275,4.02,4.596,6.202,2.386,3.848,6.603,5.105,6.787,5.981,6.508,6.565,7.011,7.618,4.209,38.719
path276,3.888,2.955,6.581,3.19,3.102,4.716,6.147,5.765,6.513,5.341,7.455,6.298,4.229,6.014,36.098
path277,3.283,4.024,3.767,3.696,5.164,4.794,6.461,6.534,6.777,3.528,3.141,5.922,5.622,3.764,33.238
path278,4.573,5.52,5.748,3.192,5.123,3.398,4.905,2.601,6.088,2.784,4.878,3.149,8.137,7.572,33.833
path279,6.428,4.934,4.275,5.557,3.402,6.439,5.603,4.315,3.247,5.676,6.66,6.278,4.346,6.42,36.79
path280,5.029,5.322,4.17,5.455,6.562,4.814,5.545,4.486,4.417,6.57,4.234,7.288,5.861,3.845,36.8
path281,4.749,5.177,4.699,4.651,2.819,5.38,2.694,4.851,7.32,5.175,4.329,5.542,3.26,4.274,32.46
path282,3.361,3.811,4.302,2.469,4.686,5.038,6.388,2.882,2.903,7.393,4.373,6.935,5.758,3.857,32.077
path283,2.633,4.567,5.651,6.081,4.911,3.241,2.375,7.141,7.242,6.266,3.477,4.511,5.775,6.512,35.192
path284,3.228,2.548,6.13,5.012,4.806,3.175,6.186,5.648,3.003,6.229,4.164,6.866,3.787,6,33.391
path285,2.674,5.656,4.039,4.684,2.365,3.895,6.06,3.318,6.563,4.198,6.591,5.063,5.787,5.85,33.37
path286,5.081,4.874,6.225,2.554,4.024,3.455,2.646,3.116,3.042,5.024,6.697,4.797,3.477,3.706,29.359
path287,3.086,4.196,2.69,3.003,4.738,6.826,4.896,2.71,3.153,6.793,7.507,4.101,7.537,4.44,32.838
path288,3.455,6.841,6.066,3.943,5.386,5.385,6.386,6.496,4.817,5.572,7.498,3.318,7.749,7.503,40.207
path289,6.667,3.104,5.315,5.177,2.586,2.611,6.1,2.81,5.31,6.97,7.937,6.458,7.299,4.333,36.34
path290,4.013,4.825,2.587,4.033,6.024,6.666,3.915,5.878,7.433,2.996,4.322,3.626,4.896,7.17,34.191
path291,3.515,5.454,3.386,3.472,3.195,6.919,6.328,4.578,3.595,7.452,7.732,5.561,3.505,4.668,34.68
path292,3.888,4.029,3.11,2.39,5.656,5.371,4.809,2.532,5.381,5.894,4.253,6.43,3.51,5.691,31.471
path293,4.777,2.928,3.519,3.874,4.93,5.718,3.634,5.701,3.833,4.681,6.921,6.539,4.769,8.048,34.936
path294,5.805,3.681,4.749,3.343,3.524,3.262,2.382,5.987,6.702,6.167,4.451,6.037,3.304,5.579,32.486
path295,4.195,5.336,2.497,2.439,4.149,5.982,4.682,5.906,6.782,2.805,7.653,4.45,7.344,7.614,35.917
path296,2.349,6.579,4.275,3.683,5.604,3.348,5.794,5.639,3.81,2.976,3.204,7.737,4.11,4.657,31.883
path297,5.927,6.403,3.199,5.978,2.76,2.513,5.244,4.701,3.711,5.037,7.173,7.741,4.613,5.887,35.444
path298,2.905,6.311,6.379,4.243,4.115,3.798,5.587,3.376,5.642,4.287,3.864,7.25,6.628,3.784,34.085
path299,5.178,5.118,3.27,3.286,2.841,5.28,4.599,6.137,4.21,6.29,7.2,6.675,3.55,3.01,33.323
path300,4.3,4.919,5.338,6.551,2.442,4.73,6.717,2.809,7.5,7.348,6.305,6.241,3.869,3.547,36.308
path301,5.263,4.719,3.876,5.804,4.466,3.47,3.03,4.302,7.515,3.753,6.025,4.607,5.604,3.647,33.041
path302,6.477,5.247,5.05,4.774,4.701,3.428,6.553,5.107,3.941,7.03,6.478,7.7,3.301,3.361,36.574
path303,4.876,6.472,4.49,4.222,4.524,4.897,3.736,3.537,5.99,3.575,4.685,5.16,3.503,5.167,32.417
path304,6.606,2.529,6.378,4.272,3.85,2.859,6.403,6.425,3.114,6.44,3.737,6.202,5.155,5.4,34.686
path305,5.801,6.419,6.226,5.934,4.787,6.442,5.095,6.449,3.736,7.18,5.742,7.02,6.389,6.406,41.813
path306,5.794,6.385,4.527,6.459,3.105,5.565,5.262,2.564,6.261,3.789,4.219,7.449,3.48,3.019,33.939
path307,3.282,4.38,5.934,6.181,2.647,4.247,4.298,3.464,3.339,2.792,7.733,4.731,7.229,6.27,33.263
path308,3.041,3.744,4.514,5.371,4.448,4.882,3.88,6.445,3.27,5.368,3.3,5.998,4.738,7.288,33.144
path309,2.333,5.749,3.271,3.913,4.066,2.85,5.085,5.822,5.69,6.53,5.142,4.138,5.347,3.576,31.755
path310,6.551,2.777,3.024,3.839,3.671,6.519,6.16,5.677,4.984,5.146,4.191,6.673,3.012,5.982,34.103
path311,5.624,5.051,5.574,3.555,5.855,4.516,5.239,6.352,3.029,4.217,4.324,6.074,3.382,8.074,35.433
path312,3.305,5.17,6.318,3.987,4.349,2.917,2.326,3.177,6.912,4.968,5.362,5.411,8.25,7.323,34.887
path313,3.457,5.112,6.347,2.978,4.534,3.465,5.94,3.876,6.49,3.895,3.429,6.78,5.984,7.925,35.106
path314,3.633,5.629,4.37,6.51,4.678,3.913,5.835,5.81,4.399,4.094,5.725,7.118,6.096,4.002,35.906
path315,5.787,5.213,5.045,6.271,5.191,4.073,6.17,4.857,5.623,3.21,5.357,5.225,7.162,4.595,36.89
path316,6.446,3.451,2.748,5.447,5.79,6.096,6.566,4.73,4.855,4.013,5.88,6.707,4.051,4.642,35.711
path317,2.305,4.725,4.484,2.479,5.827,6.771,4.155,4.118,3.671,3.619,7.862,7.403,7.314,8.08,36.406
path318,5.792,4.683,3.241,3.523,3.147,5.636,5.005,5.227,6.368,7.586,6.333,3.106,7.672,5.243,36.281
path319,5.369,4.419,5.587,4.002,3.555,5.487,5.198,2.735,6.035,3.175,6.483,4.979,4.988,3.901,32.957
path320,2.74,6.868,3.128,3.942,4.861,4.744,2.98,2.401,3.559,3.156,7.647,4.358,5.608,5.128,30.56
path321,5.982,4.994,2.487,3.025,6.36,2.585,5.881,3.756,7.604,5.967,4.381,7.682,3.4,4.644,34.374
path322,3.965,3.84,6.511,4.249,4.623,4.767,3.338,5,6.365,6.611,5.608,6.032,4.604,7.235,36.375
path323,6.535,2.493,5.576,5.823,3.372,4.332,2.873,6.981,3.271,5.832,4.32,3.611,8.008,8,35.514
path324,2.885,2.317,6.409,6.227,2.386,6.285,6.793,3.851,5.928,6.775,3.581,3.111,4.002,4.754,32.652
path325,5.524,4.943,6.495,3.776,4.291,5.934,5.358,2.875,4.409,5.557,7.809,4.203,5.997,7.554,37.362
path326,5.228,2.733,5.294,2.917,5.32,6.807,3.115,6.258,3.784,3.047,3.372,3.729,6.838,5.446,31.944
path327,3.739,3.742,3.053,5.117,4.418,3.288,6.793,5.803,7.604,2.778,7.283,3.056,5.162,5.659,33.748
path328,5.723,3.554,3.027,6.603,3.058,7.338,3.6,6.796,4.032,3.983,3.167,5.564,7.092,5.076,34.307
path329,3.359,4.316,5.405,4.167,2.837,5.136,5.425,3.948,4.662,3.713,5.138,6.352,3.334,3.585,30.688
path330,4.251,5.024,6.304,5.169,6.247,5.05,3.044,3.999,5.648,7.017,3.536,5.265,3.054,3.016,33.313
path331,4.895,5.041,3.019,3.899,5.653,5.279,3.891,3.376,2.748,7.049,5.516,3.051,5.093,6.299,32.405
path332,6.185,4.16,5.868,5.857,4.928,6.532,5.631,7.067,5.062,6.509,5.694,4.753,3.626,5.407,38.64
path333,4.456,6.146,3.008,6.07,3.837,2.757,6.865,4.263,5.965,5.021,6.289,7.622,4.518,7.271,37.043
path334,5.433,6.532,2.855,4.406,3.493,2.344,6.922,3.878,5.439,5.233,7.045,7.079,5.594,4.993,35.623
path335,4.102,5.637,2.945,5.92,5.568,2.637,6.241,5.08,2.77,3.028,6.171,3.114,5.849,3.593,31.328
path336,6.156,5.114,4.622,5.835,2.796,6.611,4.075,4.236,4.435,7.152,5.223,4.721,7.308,6.121,37.203
path337,3.459,4.432,4.7,5.767,2.844,5.127,4.135,4.502,4.013,5.242,3.408,5.36,4.604,3.466,30.53
path338,2.608,6.449,4.171,3.412,4.207,7.114,5.238,6.252,6.9,4.776,6.17,3.367,6.229,6.165,36.53
path339,3.909,5.013,2.696,3.159,2.574,6.079,3.125,7.102,2.861,7.365,7.661,4.529,4.609,6.193,33.437
path340,5.93,4.116,5.961,5.552,5.121,4.176,3.257,4.268,7.113,3.897,6.723,7.472,6.072,8.061,38.861
path341,6.354,2.869,3.758,2.933,5.707,2.411,5.183,2.406,2.926,5.113,5.213,3.583,5.58,6.688,30.361
path342,3.645,4.721,5.343,3.65,4.831,4.916,6.046,4.868,5.96,5.684,5.256,7.248,5.185,3.226,35.29
path343,2.761,6.095,5.499,6.787,3.019,3.638,6.601,6.671,2.982,4.923,3.39,6.705,3.639,3.116,32.913
path344,4.294,3.079,5.573,4.365,5.528,6.733,6.335,3.386,4.413,5.011,7.812,4.993,3.562,3.352,34.218
path345,4.33,6.81,4.874,2.772,6.808,4.95,5.525,7.025,6.716,4.313,7.662,3.304,6.787,3.894,37.886
path346,3.19,6.612,5.297,5.219,5.728,3.805,5.302,6.266,3.358,5.587,4.22,7.392,4.631,4.094,35.35
path347,3.599,3.729,4.085,5.794,6.033,4.16,3.506,3.327,7.541,7.246,7.732,4.995,5.837,7.385,37.485
path348,5.475,2.44,4.84,5.805,3.512,7.337,4.493,3.998,3.932,4.659,7.552,3.806,4.017,6.092,33.978
path349,6.189,4.587,3.031,5.722,6.38,4.777,3.878,5.125,6.799,6.915,4.816,3.124,7.812,3.282,36.218
path350,3.805,6.122,4.683,3.528,5.43,3.895,6.021,6.455,4.486,7.13,5.769,4.603,5.778,5.325,36.515
path351,2.861,2.319,2.41,5.552,5.556,4.814,4.8,7.124,4.12,5.873,7.166,5.039,3.209,5.276,33.06
path352,6.67,2.478,5.453,3.381,4.115,2.447,4.248,6.882,5.695,5.07,3.954,4.398,5.641,7.287,33.859
path353,4.87,5.595,3.059,2.984,3.579,3.786,3.633,6.65,2.742,4.847,3.205,4.889,7.321,6.885,32.022
path354,4.315,3.27,5.311,3.131,2.47,5.123,3.535,3.135,6.52,3.918,4.795,6.912,7.805,6.283,33.261
path355,5.582,5.384,3.875,6.077,3.519,6.144,2.861,3.057,5.207,3.883,6.099,7.225,6.464,7.944,36.66
path356,6.175,3.357,4.62,6.091,5.697,5.834,6.874,7.126,6.644,4.587,6.458,7.223,4.082,5.566,40.168
path357,5.07,5.939,3.366,4.003,6.589,4.834,2.624,5.461,7.671,3.04,4.239,3.647,6.445,8.017,35.472
path358,3.554,2.602,3.214,5.866,4.497,3.554,3.491,4.461,5.098,3.188,4.355,6.445,7.745,3.389,30.729
path359,5.05,6.025,3.053,2.425,2.598,5.331,6.361,3.321,3.164,3.815,3.78,4.803,6.983,7.764,32.238
path360,3.503,2.847,4.223,3.492,2.572,6.535,6.821,2.907,4.852,6.479,4.841,5.562,5.962,6.312,33.454
path361,2.339,6.007,4.691,4.176,5.633,6.308,5.404,4.312,2.933,5.344,4.346,7.068,5.984,3.53,34.037
path362,2.732,4.81,6.346,6.585,2.441,6.823,3.914,6.157,6.413,5.885,4.028,5.918,5.939,6.09,37.041
path363,4.514,6.823,4.457,5.824,2.883,6.467,6.514,6.477,6.209,3.892,7.923,3.911,3.744,5.041,37.34
path364,3.094,4.767,5.672,4.395,6.583,2.894,3.28,3.048,7.008,4.015,4.386,4.172,3.966,8.097,32.688
path365,6.347,6.07,5.309,6.049,5.797,4.713,6.084,6.506,6.842,5.741,7.727,4.111,3.888,3.868,39.526
path366,6.681,5.713,3.612,5.363,5.192,5.387,2.974,4.619,4.449,5.944,6.544,6.316,4.44,3.567,35.4
path367,2.875,6.104,5.482,3.475,3.036,5.729,5.635,5.557,6.86,6.017,3.734,4.781,4.311,6.047,34.821
path368,2.356,4.966,4.342,5.681,3.007,4.415,3.643,4.575,7.212,5.24,6.857,5.655,4.927,3.118,32.997
path369,2.856,2.916,6.163,3.271,6.068,2.817,2.669,5.222,6.514,3.244,5.831,3.745,7.283,7.479,33.039
path370,4.757,4.044,3.113,4.541,3.95,4.718,6.096,3.311,3.788,4.942,3.549,4.052,6.575,5.817,31.626
path371,5.319,3.743,3.606,5.46,6.742,7.297,3.836,3.275,2.936,5.311,4.776,4.661,6.277,3.805,33.522
path372,2.772,2.601,3.456,6.653,6.644,6.892,6.702,5.402,3.678,6.381,6.561,3.405,4.041,3.854,34.521
path373,4.087,3.983,5.142,3.72,2.944,3.043,4.557,2.44,3.262,6.643,3.635,4.331,4.729,5.03,28.773
path374,2.688,5.402,3.146,5.182,2.946,2.474,3.923,5.932,4.127,6.55,6.368,3.347,5.018,6.883,31.993
path375,6.645,5.883,3.702,3.241,2.461,3.268,2.597,3.397,5.968,6.111,6.588,4.495,4.356,4.855,31.783
path376,5.357,2.314,5.904,3.793,5.042,2.947,5.417,6.604,5.663,7.562,7.302,6.975,7.987,5.06,38.963
path377,2.927,4.393,3.194,2.918,6.352,7.207,6.754,4.246,6.726,5.644,6.056,3.768,7.203,3.234,35.311
path378,2.328,3.678,4.709,3.509,5.117,5.189,2.342,2.356,4.137,3.881,5.021,3.179,8.159,3.27,28.438
path379,2.735,6.083,3.848,2.828,6.054,7.045,3.081,5.087,3.512,5.427,7.561,5.909,4.748,6.994,35.457
path380,4.823,3.253,3.681,2.405,2.472,5.2,6.61,5.788,3.204,4.567,5.324,3.147,5.183,5.039,30.348
path381,2.964,4.638,5.502,2.893,3.454,3.989,2.466,4.885,4.352,3.984,5.148,4.93,6.102,5.373,30.339
path382,3.335,2.549,3.657,5.656,2.535,6.942,6.193,2.564,5.675,7.279,3.428,7.439,5.921,5.174,34.173
path383,2.732,6.261,3.31,5.652,5.314,5.327,3.655,3.101,4.418,5.963,3.826,6,7.768,3.582,33.454
path384,6.385,5.372,6.317,3.318,3.96,7.052,5.088,2.82,3.571,7.19,4.194,7.635,6.455,3.798,36.577
path385,5.079,2.763,4.895,4.803,6.673,5.898,6.814,2.939,7.305,6.275,4.343,7.269,4.368,4.907,37.166
path386,4.867,5.312,5.078,3.715,2.625,5.329,4.766,2.417,6.614,2.888,4.612,3.622,3.172,3.8,29.408
path387,4.51,5.465,4.996,5.526,6.604,4.899,5.624,3.783,5.781,6.264,5.544,4.271,4.259,3.167,35.346
path388,2.647,4.166,5.945,6.018,5.038,6.509,6.92,3.892,4.353,3.187,5.916,5.557,7.643,7.651,37.721
path389,6.15,6.376,5.296,3.236,5.726,6.453,3.894,3.256,6.501,6.235,5.834,6.998,7.852,4.916,39.362
path390,4.883,3.462,4.17,5.915,2.825,2.92,2.675,4.553,7.175,3.58,6.394,3.508,7.192,7.368,33.31
path391,6.317,4.795,4.167,3.165,5.65,5.987,5.854,6.783,3.109,6.741,5.349,4.425,5.695,7.318,37.677
path392,4.458,5.189,5.248,5.015,4.876,5.401,6.464,6.666,2.827,4.662,6.065,5.517,7.207,5.938,37.766
path393,2.988,2.924,4.354,6.185,6.605,2.697,3.107,2.504,2.887,4.063,3.067,6.374,4.465,4.491,28.356
path394,5.36,4.357,5.672,4.808,3.388,6.744,3.403,5.554,7.255,7.397,4.261,5.713,7.951,5.938,38.9
path395,4.662,6.177,5.926,5.334,5.352,3.851,2.545,6.426,3.379,6.352,5.955,7.545,3.912,7.342,37.38
path396,2.88,6.575,6.363,3.86,6.821,6.019,2.373,6.966,2.976,4.777,4.424,3.691,6.528,3.667,33.96
path397,4.225,4.465,6.568,3.763,5.115,5.785,3.688,2.374,7.011,5.918,6.819,3.936,5.958,7.478,36.551
path398,3.088,5.733,2.743,2.611,4.606,7.309,5.39,3.788,3.301,4.479,4.656,5.584,4.816,6.13,32.117
path399,4.96,5.632,6.165,3.824,5.417,4.637,5.483,5.265,3.04,6.319,7.736,5.532,7.609,6.304,38.961
path400,4.687,2.766,4.733,3.656,4.981,7.203,3.021,5.581,3.801,5.311,7.704,7.021,3.157,8.066,35.844
path401,3.385,6.276,3.762,3.326,6.29,4.053,3.731,5.322,6.236,3.678,5.747,6.653,3.278,3.567,32.651
path402,4.937,2.595,5.676,3.286,4.49,3.977,6.06,3.979,4.199,3.044,4.751,4.433,6.45,3.89,30.883
path403,3.099,5.709,2.41,4.738,4.443,6.03,4.269,4.656,4.061,2.742,7.358,5.248,3.372,7.373,32.754
path404,5.471,5.642,5.01,2.597,6.469,6.315,3.45,4.108,5.097,6.454,6.735,3.981,3.639,6.711,35.839
path405,2.53,3.784,4.804,2.932,5.439,5.607,6.144,3.962,3.435,3.619,3.437,4.228,3.769,4.301,28.995
path406,4.798,3.937,3.758,6.294,5.447,5.85,3.275,2.716,5.517,2.819,4.975,7.62,4.566,6.34,33.955
path407,5.218,5.5,6.501,3.786,2.686,2.784,6.179,3.387,4.509,6.135,6.291,4.856,7.338,6.496,35.833
path408,2.318,5.181,4.566,5.837,6.813,7.211,4.564,6.27,3.384,6.796,3.451,5.308,3.076,6.074,35.424
path409,4.054,3.934,4.662,2.587,4.433,6.163,6.439,5.695,5.314,7.09,7.913,7.061,5.351,7.291,38.994
path410,2.506,5.303,3.13,2.708,6.422,6.581,4.543,7,6.354,7.452,6.77,7.741,3.115,3.473,36.549
path411,2.348,4.579,5.841,3.183,2.694,5.482,4.465,3.769,5.148,5.866,6.244,7.637,5.803,7.145,35.102
path412,4.549,3.341,5.309,2.672,4.167,3.693,3.929,3.145,3.702,6.525,7.465,5.562,5.55,7.955,33.782
path413,2.694,3.499,2.531,5.661,4.57,3.767,4.881,2.321,4.724,6.305,4.308,3.574,3.985,6.186,29.502
path414,5.477,4.955,3.688,4.991,2.336,6.24,6.55,2.791,3.91,3.982,7.54,5.603,4.253,4.998,33.657
path415,4.13,2.464,3.845,3.222,3.314,4.602,6.202,7.102,5.855,7.628,7.741,6.436,5.126,4.123,35.895
path416,3.037,2.415,3.866,5.977,2.757,6.407,2.769,5.977,4.299,7.109,4.48,5.719,7.074,7.053,34.469
path417,4.07,3.431,5.897,4.665,5.004,2.36,3.418,6.309,7.332,6.525,5.385,5.788,5.212,5.43,35.413
path418,5.146,4.043,3.448,5.48,3.8,6.548,5.822,6.209,5.579,6.107,4.045,4.793,7.028,7.164,37.606
path419,3.59,5.942,2.318,5.227,6.585,4.696,5.266,2.42,7.224,5.593,7.679,4.676,3.559,7.354,36.065
path420,3.491,4.296,4.179,4.118,2.862,5.94,3.074,6.389,6.904,6.266,3.778,5.115,5.068,5.943,33.712
path421,2.779,6.625,5.287,5.531,5.774,6.891,5.518,4.93,7.033,4.653,6.618,4.581,5.547,3.617,37.693
path422,2.424,2.652,5.346,4.017,6.727,6.65,3.048,5.764,5.826,6.163,6.31,3.863,6.071,5.522,35.191
path423,2.812,5.725,3.43,3.458,6.453,3.581,4.885,4.994,6.639,5.115,6.814,7.673,6.827,3.911,36.159
path424,3.508,2.399,5.865,3.496,6.194,4.272,6.695,3.349,3.335,6.658,4.561,4.624,3.503,7.606,33.032
path425,6.577,4.788,5.819,5.613,2.498,4.338,3.33,4.666,3.792,2.718,3.345,7.304,5.644,4.79,32.611
path426,3.064,2.806,2.632,2.849,3.442,3.564,5.062,6.249,4.067,6.006,3.262,4.116,3.548,3.227,26.947
path427,3.549,4.492,5.419,2.621,4.054,6.536,6.075,6.328,5.454,2.883,5.612,6.011,6.539,5.367,35.47
path428,3.464,5.808,2.636,6.134,2.594,6.13,3.193,3.344,2.857,3.11,5.547,3.41,7.84,5.809,30.938
path429,2.736,6.702,6.117,5.356,3.874,3.372,3.727,4.178,5.087,4.147,4.677,4.581,7.385,3.383,32.661
path430,2.808,5.376,4.163,4.95,6.629,3.382,4.534,4.576,5.646,3.987,4.567,3.086,6.811,5.619,33.067
path431,4.471,3.193,6.428,4.384,5.02,3.129,2.702,5.144,5.643,6.356,5.934,4.433,4.489,6.451,33.888
path432,3.931,5.131,4.182,6.513,4.195,5.145,3.613,6.855,3.991,7.297,6.863,4.645,3.581,5.483,35.713
path433,5.494,6.023,5.371,5.496,5.924,5.812,4.239,6.606,4.504,4.048,4.211,4.285,6.38,3.371,35.882
path434,4.413,5.51,6.151,4.117,3.154,5.438,5.921,5.499,6.305,3.949,5.306,5.999,6.38,4.84,36.491
path435,5.304,4.538,4.013,3.146,6.571,7.263,5.91,6.764,6.739,3.907,3.386,6.457,5.604,3.488,36.545
path436,4.619,5.434,5.592,4.603,3.734,5.757,2.369,3.45,6.312,7.368,6.265,5.182,4.367,3.28,34.166
path437,5.066,4.386,3.345,3.212,6.109,4.214,5.055,6.799,4.192,3.044,3.108,5.791,3.43,5.484,31.617
path438,5.276,4.481,4.936,4.489,6.144,2.837,6.928,3.745,7.348,3.486,3.501,4.632,5.404,7.918,35.563
path439,6.273,3.852,6.535,5.244,6.08,4.344,6.294,2.627,7.263,3.535,7.301,5.917,7.388,7.063,39.858
path440,4.622,5.079,2.361,4.347,6.077,6.198,6.404,4.14,4.247,3.661,6.746,3.992,8.064,4.651,35.295
path441,6.619,5.789,3.132,6.193,3.289,6.945,5.143,6.921,6.331,2.831,7.497,3.74,7.855,6.069,39.176
